"Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
S01-8738616-6204409,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwasher Safe","2018-12-08 20-45-24","2018-12-12 11-33-10",Shipping,Amazon,Unshipped,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Mount Crawford",VA,22841,US
S01-1309256-1106031,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens & Perfect for Your Home - 9 Inch / 23 cm Diameter","2018-12-02 15-14-02","2018-12-03 06-28-02",Shipped,Amazon,Shipped,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Disputanta,VA,23842,US
S01-8899167-0501246,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-01 06-21-40","2018-12-03 22-21-19",Shipped,Amazon,Shipped,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Indianapolis,IN,46278,US
S01-4218573-4606558,LMP-U82799-0-091018-3.79,B00LRIBTM2,"Nylabone Advanced Oral Care Senior Toothpaste","2018-11-28 20-38-01","2018-12-03 19-42-45",Shipped,Amazon,Unshipped,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Mount Crawford",VA,22841,US
S01-7359092-3633450,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Comfortable Non Slip Handles - 3 Sizes","2018-11-22 20-40-30","2018-11-30 19-50-50",Shipped,Amazon,Unshipped,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Mount Crawford",VA,22841,US
S01-2683541-4276212,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Comfortable Non Slip Handles - 3 Sizes","2018-11-15 20-47-28","2018-11-20 19-05-14",Shipped,Amazon,Unshipped,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Mount Crawford",VA,22841,US
S01-9259850-1444400,LF2017COX-070917-A,B073TQ3M87,"LiveFresh Over the Sink Micro-perforated Stainless Steel 4-Quart Colander with Non-Slip Handle Grips and Rubber Feet - Handles Extend to Fit Any Sink","2018-11-15 08-15-53","2018-11-19 11-29-34",Shipped,Amazon,Shipped,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,FAYETTEVILLE,OH,45118-8461,US
112-2991105-8785024,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 12-03-29","2018-12-12 12-03-35",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SPARKS,NV,89434-1708,US
111-9520242-0873801,LF17CC505YD-112017-SL,B075TD8FYD,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50, 5.5 Yards (49.5sq feet) - Wash","2018-12-12 11-32-14","2018-12-12 11-32-18",Pending,Amazon,Unshipped,1,7.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,WILTON,NH,03086-8002,US
112-9414575-6768229,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 11-29-47","2018-12-12 11-29-51",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SCITUATE,RI,02857-1047,US
