"Order ID","Merchant Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
113-3561096-1588235,113-3561096-1588235,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,BELLINGHAM,WA,98226-7568,US
114-8531949-0164264,114-8531949-0164264,LF17CC502YD-112017-SL,B075SLR878,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50 2.5 Yards (22.5 sq. feet) - Wa",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,5.97,,,,,,,,,CHICO,CA,95928-9467,US
113-4632363-3396269,113-4632363-3396269,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,DALLAS,OR,97338,US
111-3675719-0512205,111-3675719-0512205,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,Atwater,Ohio,44201,US
112-7923380-6616259,112-7923380-6616259,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,15.57,,,,,,,,,RICHMOND,CA,94804-4567,US
114-9127205-7476268,114-9127205-7476268,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,15.57,,,,,,,,,"IOWA CITY",IA,52246-5821,US
111-9252033-9270641,111-9252033-9270641,ESP-2730077-0-053118-7.64,B002DYIZEE,"OPTIMUM NUTRITION Micronized Creatine Monohydrate Powder Unflavored 300g",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,16.25,,,,,,,,,"SAN FRANCISCO",CA,94105-2373,US
111-1125643-1848239,111-1125643-1848239,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,Hewitt,MN,56453,US
111-4863145-4372268,111-4863145-4372268,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,HOUSTON,TX,77084-6961,US
111-8051348-6656213,111-8051348-6656213,ESP-2730077-0-053118-7.64,B002DYIZEE,"OPTIMUM NUTRITION Micronized Creatine Monohydrate Powder Unflavored 300g",2019-01-01,2019-01-01,Pending,Amazon,Unshipped,1.0,16.25,,,,,,,,,"Los Angeles",CA,90027,US
